# Exact cuboids/UV/pivots/rotations converted from the corresponding TC4 ModelBiped armor.
# parent,name,u,v,mirror,x,y,z,width,height,depth,pivotX,pivotY,pivotZ,rotX,rotY,rotZ
head,hood1,16,7,false,-4.5F,-9.0F,-4.6F,9,9,9,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
head,hood2,52,13,false,-4.0F,-9.7F,2.0F,8,9,3,0.0F,0.0F,0.0F,-0.2268928F,0.0F,0.0F
head,hood3,52,14,false,-3.5F,-10.0F,3.5F,7,8,3,0.0F,0.0F,0.0F,-0.3490659F,0.0F,0.0F
head,hood4,53,15,false,-3.0F,-10.7F,3.5F,6,7,3,0.0F,0.0F,0.0F,-0.5759587F,0.0F,0.0F
body,chestthing,56,50,false,-2.5F,1.0F,-4.0F,5,7,1,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,mbelt,16,55,false,-4.0F,7.0F,-3.0F,8,5,1,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,mbeltb,16,55,false,-4.0F,7.0F,-4.0F,8,5,1,0.0F,0.0F,0.0F,0.0F,3.141593F,0.0F
body,clothchestl,108,38,true,2.1F,0.5F,-3.5F,2,8,1,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,clothchestr,108,38,false,-4.1F,0.5F,-3.5F,2,8,1,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,book,81,16,false,1.0F,0.0F,4.0F,5,7,2,0.0F,0.0F,0.0F,0.0F,0.0F,0.7679449F
body,scroll,78,25,false,-2.0F,9.5F,4.0F,8,3,3,0.0F,0.0F,0.0F,0.0F,0.0F,0.1919862F
body,backplate,36,45,false,-4.0F,1.0F,1.9F,8,11,2,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,mbeltl,16,36,false,4.0F,8.0F,-3.0F,1,3,6,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,mbeltr,16,36,false,-5.0F,8.0F,-3.0F,1,3,6,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,chestplate,16,25,false,-4.0F,1.0F,-3.0F,8,6,1,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
rightArm,shoulderplater1,56,33,false,-4.5F,-1.5F,-3.5F,1,4,7,0.0F,0.0F,0.0F,0.0F,0.0F,0.4363323F
rightArm,shoulderplater2,40,33,false,-3.5F,1.5F,-3.5F,1,3,7,0.0F,0.0F,0.0F,0.0F,0.0F,0.4363323F
rightArm,shoulderplater3,40,33,false,-2.5F,3.5F,-3.5F,1,3,7,0.0F,0.0F,0.0F,0.0F,0.0F,0.4363323F
