# Exact cuboids/UV/pivots/rotations converted from the corresponding TC4 ModelBiped armor.
# parent,name,u,v,mirror,x,y,z,width,height,depth,pivotX,pivotY,pivotZ,rotX,rotY,rotZ
head,helmet,41,8,false,-4.5F,-9.0F,-4.5F,9,9,9,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,mbelt,56,55,false,-4.0F,8.0F,-3.0F,8,4,1,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,mbeltl,76,44,false,4.0F,8.0F,-3.0F,1,3,6,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,mbeltr,76,44,false,-5.0F,8.0F,-3.0F,1,3,6,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,tabbard,114,52,false,-3.0F,1.2F,-3.5F,6,10,1,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,cloakatl,0,43,false,2.5F,1.0F,2.0F,2,1,3,0.0F,0.0F,0.0F,0.1396263F,0.0F,0.0F
body,backplate,36,45,false,-4.0F,1.0F,2.0F,8,11,2,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,cloak1,0,47,false,0.0F,0.0F,0.0F,9,12,1,-4.5F,1.3F,4.2F,0.1396263F,0.0F,0.0F
body,cloak2,0,59,false,0.0F,11.7F,-2.0F,9,4,1,-4.5F,1.3F,4.2F,0.3069452F,0.0F,0.0F
body,cloak3,0,59,false,0.0F,15.2F,-4.2F,9,4,1,-4.5F,1.3F,4.2F,0.4465716F,0.0F,0.0F
body,cloakatr,0,43,false,-4.5F,1.0F,2.0F,2,1,3,0.0F,0.0F,0.0F,0.1396263F,0.0F,0.0F
body,chestplate,56,45,false,-4.0F,1.0F,-3.0F,8,7,1,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
rightArm,shoulderr1,0,19,false,-3.3F,3.5F,-2.5F,1,1,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.7853982F
rightArm,gauntletr,100,26,true,-3.5F,3.5F,-2.5F,2,6,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
rightArm,gauntletstrapr1,84,31,true,-1.5F,3.5F,-2.5F,3,1,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
rightArm,gauntletstrapr2,84,31,true,-1.5F,6.5F,-2.5F,3,1,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
rightArm,shoulderr,56,35,true,-3.5F,-2.5F,-2.5F,5,5,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
rightArm,shoulderr0,0,0,true,-4.3F,-1.5F,-3.0F,3,5,6,0.0F,0.0F,0.0F,0.0F,0.0F,0.7853982F
rightArm,shoulderr2,0,11,true,-2.3F,3.5F,-3.0F,1,2,6,0.0F,0.0F,0.0F,0.0F,0.0F,0.7853982F
leftArm,shoulderl1,0,19,true,2.3F,3.5F,-2.5F,1,1,5,0.0F,0.0F,0.0F,0.0F,0.0F,-0.7853982F
leftArm,gauntletl,114,26,false,1.5F,3.5F,-2.5F,2,6,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
leftArm,gauntletstrapl1,84,31,true,-1.5F,3.5F,-2.5F,3,1,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
leftArm,gauntletstrapl2,84,31,true,-1.5F,6.5F,-2.5F,3,1,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
leftArm,shoulderl,56,35,false,-1.5F,-2.5F,-2.5F,5,5,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
leftArm,shoulderl0,0,0,false,1.3F,-1.5F,-3.0F,3,5,6,0.0F,0.0F,0.0F,0.0F,0.0F,-0.7853982F
leftArm,shoulderl2,0,11,false,1.3F,3.5F,-3.0F,1,2,6,0.0F,0.0F,0.0F,0.0F,0.0F,-0.7853982F
rightLeg,sidepanelr3,116,13,false,-3.0F,2.5F,-2.5F,1,4,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.1396263F
rightLeg,sidepanelr2,114,5,true,-2.0F,2.5F,-2.5F,2,3,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.1396263F
leftLeg,sidepanell2,114,5,false,0.0F,2.5F,-2.5F,2,3,5,0.0F,0.0F,0.0F,0.0F,0.0F,-0.1396263F
rightLeg,sidepanelr0,96,14,false,-3.0F,-0.5F,-2.5F,5,3,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.1396263F
leftLeg,sidepanell0,96,14,false,-2.0F,-0.5F,-2.5F,5,3,5,0.0F,0.0F,0.0F,0.0F,0.0F,-0.1396263F
rightLeg,sidepanelr1,96,7,true,0.0F,2.5F,-2.5F,2,2,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.1396263F
leftLeg,sidepanell3,116,13,false,2.0F,2.5F,-2.5F,1,4,5,0.0F,0.0F,0.0F,0.0F,0.0F,-0.1396263F
leftLeg,sidepanell1,96,7,false,-2.0F,2.5F,-2.5F,2,2,5,0.0F,0.0F,0.0F,0.0F,0.0F,-0.1396263F
body,frontcloth1,120,39,false,0.0F,0.0F,0.0F,6,8,1,-3.0F,11.0F,-3.5F,-0.1047198F,0.0F,0.0F
body,frontcloth2,100,37,false,0.0F,7.5F,1.8F,6,3,1,-3.0F,11.0F,-3.5F,-0.3316126F,0.0F,0.0F
