# Exact cuboids/UV/pivots/rotations converted from the corresponding TC4 ModelBiped armor.
# parent,name,u,v,mirror,x,y,z,width,height,depth,pivotX,pivotY,pivotZ,rotX,rotY,rotZ
head,helmet,41,8,false,-4.5F,-9.0F,-4.5F,9,9,9,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,collarf,17,31,false,-4.5F,-1.5F,-3.0F,9,4,1,0.0F,0.0F,-2.5F,0.2268928F,0.0F,0.0F
body,collarb,17,26,false,-4.5F,-1.5F,7.0F,9,4,1,0.0F,0.0F,-2.5F,0.2268928F,0.0F,0.0F
body,collarr,17,11,false,-5.5F,-1.5F,-3.0F,1,4,11,0.0F,0.0F,-2.5F,0.2268928F,0.0F,0.0F
body,collarl,17,11,false,4.5F,-1.5F,-3.0F,1,4,11,0.0F,0.0F,-2.5F,0.2268928F,0.0F,0.0F
body,beltr,76,44,false,-5.0F,4.0F,-3.0F,1,3,6,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,mbelt,56,55,false,-4.0F,8.0F,-3.0F,8,4,1,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,mbeltl,76,44,false,4.0F,8.0F,-3.0F,1,3,6,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,mbeltr,76,44,false,-5.0F,8.0F,-3.0F,1,3,6,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,beltl,76,44,false,4.0F,4.0F,-3.0F,1,3,6,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,cloaktl,0,43,false,2.5F,1.0F,-1.0F,2,1,3,0.0F,0.0F,3.0F,0.1396263F,0.0F,0.0F
body,cloak3,0,59,false,-4.5F,17.0F,-3.7F,9,4,1,0.0F,0.0F,3.0F,0.4465716F,0.0F,0.0F
body,cloaktr,0,43,false,-4.5F,1.0F,-1.0F,2,1,3,0.0F,0.0F,3.0F,0.1396263F,0.0F,0.0F
body,cloak1,0,47,false,-4.5F,2.0F,1.0F,9,12,1,0.0F,0.0F,3.0F,0.1396263F,0.0F,0.0F
body,cloak2,0,59,false,-4.5F,14.0F,-1.3F,9,4,1,0.0F,0.0F,3.0F,0.3069452F,0.0F,0.0F
body,chestplate,56,45,false,-4.0F,1.0F,-3.8F,8,7,2,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,chestornament,76,53,false,-2.5F,3.0F,-4.8F,5,5,1,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,chestclothl,20,47,true,1.5F,1.2F,-4.5F,3,9,1,0.0F,0.0F,0.0F,0.0663225F,0.0F,0.0F
body,chestclothr,20,47,false,-4.5F,1.2F,-4.5F,3,9,1,0.0F,0.0F,0.0F,0.0663225F,0.0F,0.0F
body,backplate,36,45,false,-4.0F,1.0F,2.0F,8,11,2,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
rightArm,gauntletr,100,26,false,-3.5F,3.5F,-2.5F,2,6,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
leftArm,gauntletl,114,26,false,1.5F,3.5F,-2.5F,2,6,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
leftArm,gauntletstrapl1,84,31,true,-1.5F,3.5F,-2.5F,3,1,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
leftArm,gauntletstrapl2,84,31,true,-1.5F,6.5F,-2.5F,3,1,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
rightArm,gauntletstrapr1,84,31,false,-1.5F,3.5F,-2.5F,3,1,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
rightArm,gauntletstrapr2,84,31,false,-1.5F,6.5F,-2.5F,3,1,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
rightArm,gauntletr2,102,37,false,-5.0F,3.5F,-2.0F,1,5,4,0.0F,0.0F,0.0F,0.0F,0.0F,-0.1675516F
leftArm,gauntletl2,102,37,false,4.0F,3.5F,-2.0F,1,5,4,0.0F,0.0F,0.0F,0.0F,0.0F,0.1675516F
rightArm,shoulderr,56,35,false,-3.5F,-2.5F,-2.5F,5,5,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
rightArm,shoulderr1,0,0,false,-4.3F,-1.5F,-3.0F,3,5,6,0.0F,0.0F,0.0F,0.0F,0.0F,0.7853982F
rightArm,shoulderr2,0,19,false,-3.3F,3.5F,-2.5F,1,1,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.7853982F
rightArm,shoulderr5,18,4,false,-2.3F,-1.5F,3.0F,1,6,1,0.0F,0.0F,0.0F,0.0F,0.0F,0.7853982F
rightArm,shoulderr3,0,11,false,-2.3F,3.5F,-3.0F,1,2,6,0.0F,0.0F,0.0F,0.0F,0.0F,0.7853982F
rightArm,shoulderr4,18,4,false,-2.3F,-1.5F,-4.0F,1,6,1,0.0F,0.0F,0.0F,0.0F,0.0F,0.7853982F
leftArm,shoulderl,56,35,false,-1.5F,-2.5F,-2.5F,5,5,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
leftArm,shoulderl1,0,0,false,1.3F,-1.5F,-3.0F,3,5,6,0.0F,0.0F,0.0F,0.0F,0.0F,-0.7853982F
leftArm,shoulderl2,0,19,true,2.3F,3.5F,-2.5F,1,1,5,0.0F,0.0F,0.0F,0.0F,0.0F,-0.7853982F
leftArm,shoulderl3,0,11,false,1.3F,3.5F,-3.0F,1,2,6,0.0F,0.0F,0.0F,0.0F,0.0F,-0.7853982F
leftArm,shoulderl5,18,4,false,1.3F,-1.5F,3.0F,1,6,1,0.0F,0.0F,0.0F,0.0F,0.0F,-0.7853982F
leftArm,shoulderl4,18,4,false,1.3F,-1.5F,-4.0F,1,6,1,0.0F,0.0F,0.0F,0.0F,0.0F,-0.7853982F
body,legclothr,20,55,false,0.0F,0.0F,0.0F,3,8,1,-4.5F,10.4F,-3.9F,-0.0349066F,0.0F,0.0F
body,legclothl,20,55,true,0.0F,0.0F,0.0F,3,8,1,1.5F,10.4F,-3.9F,-0.0349066F,0.0F,0.0F
rightLeg,backpanelr1,0,25,false,-3.0F,-0.5F,2.5F,5,7,1,0.0F,0.0F,0.0F,0.0698132F,0.0F,0.0F
rightLeg,backpanelr2,96,14,false,-3.0F,-0.5F,-2.5F,5,3,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.1396263F
rightLeg,backpanelr3,116,13,false,-3.0F,2.5F,-2.5F,1,4,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.1396263F
rightLeg,backpanelr4,0,25,true,-3.0F,-0.5F,-3.5F,5,7,1,0.0F,0.0F,0.0F,-0.0349066F,0.0F,0.0F
leftLeg,backpanell1,0,25,false,-2.0F,-0.5F,2.5F,5,7,1,0.0F,0.0F,0.0F,0.0698132F,0.0F,0.0F
leftLeg,backpanell4,0,25,false,-2.0F,-0.5F,-3.5F,5,7,1,0.0F,0.0F,0.0F,-0.0349066F,0.0F,0.0F
leftLeg,backpanell2,96,14,false,-2.0F,-0.5F,-2.5F,5,3,5,0.0F,0.0F,0.0F,0.0F,0.0F,-0.1396263F
leftLeg,backpanell3,116,13,false,2.0F,2.5F,-2.5F,1,4,5,0.0F,0.0F,0.0F,0.0F,0.0F,-0.1396263F
