# parent,name,u,v,mirror,x,y,z,dx,dy,dz,pivotX,pivotY,pivotZ,rotX,rotY,rotZ
head,Goggles,100,18,false,-4.5f,-5.0f,-4.25f,9,5,1,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
head,OrnamentL,78,8,true,1.5f,-9.0f,-6.5f,2,2,1,0.0f,0.0f,0.0f,-0.1396263f,0.0f,0.0f
head,OrnamentL2,78,8,true,3.5f,-10.0f,-6.5f,1,2,1,0.0f,0.0f,0.0f,-0.1396263f,0.0f,0.0f
head,OrnamentR,78,8,false,-3.5f,-9.0f,-6.5f,2,2,1,0.0f,0.0f,0.0f,-0.1396263f,0.0f,0.0f
head,OrnamentR2,78,8,false,-4.5f,-10.0f,-6.5f,1,2,1,0.0f,0.0f,0.0f,-0.1396263f,0.0f,0.0f
head,Helmet,41,8,false,-4.5f,-9.0f,-4.5f,9,4,9,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
head,HelmetR,21,13,false,-6.5f,-3.0f,-4.5f,1,5,9,0.0f,0.0f,0.0f,0.0f,0.0f,0.5235988f
head,HelmetL,21,13,true,5.5f,-3.0f,-4.5f,1,5,9,0.0f,0.0f,0.0f,0.0f,0.0f,-0.5235988f
head,HelmetB,41,21,false,-4.5f,-3.0f,5.5f,9,5,1,0.0f,0.0f,0.0f,0.5235988f,0.0f,0.0f
head,capsthingy,21,0,false,-4.5f,-6.0f,-6.5f,9,1,2,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
head,flapR,59,10,false,-10.0f,-2.0f,-1.0f,3,3,1,0.0f,0.0f,0.0f,0.0f,-0.5235988f,0.5235988f
head,flapL,59,10,true,7.0f,-2.0f,-1.0f,3,3,1,0.0f,0.0f,0.0f,0.0f,0.5235988f,-0.5235988f
head,Gemornament,68,11,false,-1.5f,-9.0f,-7.0f,3,3,2,0.0f,0.0f,0.0f,-0.1396263f,0.0f,0.0f
head,Gem,72,8,false,-1.0f,-8.5f,-7.5f,2,2,1,0.0f,0.0f,0.0f,-0.1396263f,0.0f,0.0f
body,BeltR,76,44,false,-5.0f,4.0f,-3.0f,1,3,6,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
body,Mbelt,56,55,false,-4.0f,8.0f,-3.0f,8,4,1,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
body,MbeltL,76,44,false,4.0f,8.0f,-3.0f,1,3,6,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
body,MbeltR,76,44,false,-5.0f,8.0f,-3.0f,1,3,6,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
body,BeltL,76,44,false,4.0f,4.0f,-3.0f,1,3,6,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
body,Chestplate,56,45,false,-4.0f,1.0f,-4.0f,8,7,2,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
body,Scroll,34,27,false,-2.0f,9.5f,4.0f,8,3,3,0.0f,0.0f,0.0f,0.0f,0.0f,0.1919862f
body,Backplate,36,45,false,-4.0f,1.0f,2.0f,8,11,2,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
body,Book,100,8,false,1.0f,-0.3f,4.0f,5,7,2,0.0f,0.0f,0.0f,0.0f,0.0f,0.7679449f
rightArm,ShoulderR,56,35,false,-3.5f,-2.5f,-2.5f,5,5,5,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
rightArm,GauntletR,100,26,false,-3.5f,3.5f,-2.5f,2,6,5,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
rightArm,GauntletstrapR1,84,31,false,-1.5f,3.5f,-2.5f,3,1,5,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
rightArm,GauntletstrapR2,84,31,false,-1.5f,6.5f,-2.5f,3,1,5,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
rightArm,ShoulderplateRtop,110,37,false,-5.5f,-2.5f,-3.5f,2,1,7,0.0f,0.0f,0.0f,0.0f,0.0f,0.4363323f
rightArm,ShoulderplateR1,110,45,false,-4.5f,-1.5f,-3.5f,1,4,7,0.0f,0.0f,0.0f,0.0f,0.0f,0.4363323f
rightArm,ShoulderplateR2,94,45,false,-3.5f,1.5f,-3.5f,1,3,7,0.0f,0.0f,0.0f,0.0f,0.0f,0.4363323f
rightArm,ShoulderplateR3,94,45,false,-2.5f,3.5f,-3.5f,1,3,7,0.0f,0.0f,0.0f,0.0f,0.0f,0.4363323f
leftArm,ShoulderL,56,35,true,-1.5f,-2.5f,-2.5f,5,5,5,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
leftArm,GauntletL,114,26,false,1.5f,3.5f,-2.5f,2,6,5,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
leftArm,Gauntletstrapl1,84,31,true,-1.5f,3.5f,-2.5f,3,1,5,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
leftArm,GauntletstrapL2,84,31,true,-1.5f,6.5f,-2.5f,3,1,5,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
leftArm,ShoulderplateLtop,110,37,true,3.5f,-2.5f,-3.5f,2,1,7,0.0f,0.0f,0.0f,0.0f,0.0f,-0.4363323f
leftArm,ShoulderplateL1,110,45,true,3.5f,-1.5f,-3.5f,1,4,7,0.0f,0.0f,0.0f,0.0f,0.0f,-0.4363323f
