# variant,parent,name,u,v,mirror,x,y,z,dx,dy,dz,pivotX,pivotY,pivotZ,rotX,rotY,rotZ
both,head,hood_1,16,7,false,-4.5,-9.0,-4.6,9,9,9,0,0,0,0,0,0
both,head,hood_2,52,13,false,-4.0,-9.7,2.0,8,9,3,0,0,0,-0.2268928,0,0
both,head,hood_3,52,14,false,-3.5,-10.0,3.5,7,8,3,0,0,0,-0.3490659,0,0
both,head,hood_4,53,15,false,-3.0,-10.7,3.5,6,7,3,0,0,0,-0.5759587,0,0
both,body,middle_belt,16,55,false,-4.0,7.0,-3.0,8,5,1,0,0,0,0,0,0
both,body,middle_belt_back,16,55,false,-4.0,7.0,-4.0,8,5,1,0,0,0,0,3.141593,0
both,body,middle_belt_left,16,36,false,4.0,8.0,-3.0,1,3,6,0,0,0,0,0,0
both,body,middle_belt_right,16,36,false,-5.0,8.0,-3.0,1,3,6,0,0,0,0,0,0
outer,body,chest_thing,56,50,false,-2.5,1.0,-4.0,5,7,1,0,0,0,0,0,0
outer,body,cloth_chest_left,108,38,true,2.1,0.5,-3.5,2,8,1,0,0,0,0,0,0
outer,body,cloth_chest_right,108,38,false,-4.1,0.5,-3.5,2,8,1,0,0,0,0,0,0
outer,body,book,81,16,false,1.0,0.0,4.0,5,7,2,0,0,0,0,0,0.7679449
outer,body,scroll,78,25,false,-2.0,9.5,4.0,8,3,3,0,0,0,0,0,0.1919862
outer,body,backplate,36,45,false,-4.0,1.0,1.9,8,11,2,0,0,0,0,0,0
outer,body,chestplate,16,25,false,-4.0,1.0,-3.0,8,6,1,0,0,0,0,0,0
both,rightArm,shoulder,16,45,true,-3.5,-2.5,-2.5,5,5,5,0,0,0,0,0,0
both,rightArm,arm_1,88,39,false,-3.5,2.5,-2.5,5,7,5,0,0,0,0,0,0
both,rightArm,arm_2,76,32,false,-3.0,5.5,2.5,4,4,2,0,0,0,0,0,0
both,rightArm,arm_3,88,32,false,-2.5,3.5,2.5,3,2,1,0,0,0,0,0,0
both,rightArm,shoulder_plate_top,56,25,false,-5.5,-2.5,-3.5,2,1,7,0,0,0,0,0,0.4363323
both,rightArm,shoulder_plate_1,56,33,false,-4.5,-1.5,-3.5,1,4,7,0,0,0,0,0,0.4363323
both,rightArm,shoulder_plate_2,40,33,false,-3.5,1.5,-3.5,1,3,7,0,0,0,0,0,0.4363323
both,rightArm,shoulder_plate_3,40,33,false,-2.5,3.5,-3.5,1,3,7,0,0,0,0,0,0.4363323
both,leftArm,shoulder,16,45,true,-1.5,-2.5,-2.5,5,5,5,0,0,0,0,0,0
both,leftArm,arm_1,88,39,true,-1.5,2.5,-2.5,5,7,5,0,0,0,0,0,0
both,leftArm,arm_2,76,32,false,-1.0,5.5,2.5,4,4,2,0,0,0,0,0,0
both,leftArm,arm_3,88,32,false,-0.5,3.5,2.5,3,2,1,0,0,0,0,0,0
